country_code,indicator_code,date,value,source_organization,source_dataset,source_status,release_status,observation_type
BR,UNEMPLOYMENT_RATE_A,2029,7.396,IMF,World Economic Outlook,official,final,forecast
BR,UNEMPLOYMENT_RATE_A,2030,7.4,IMF,World Economic Outlook,official,final,forecast
BR,UNEMPLOYMENT_RATE_A,2031,7.4,IMF,World Economic Outlook,official,final,forecast
CN,CPI_YOY_A,2027,1.514,IMF,World Economic Outlook,official,final,forecast
CN,CPI_YOY_A,2028,1.805,IMF,World Economic Outlook,official,final,forecast
CN,CPI_YOY_A,2029,1.902,IMF,World Economic Outlook,official,final,forecast
CN,CPI_YOY_A,2030,1.997,IMF,World Economic Outlook,official,final,forecast
CN,CPI_YOY_A,2031,1.992,IMF,World Economic Outlook,official,final,forecast
CN,CURRENT_ACCOUNT_GDP_A,2027,3.267,IMF,World Economic Outlook,official,final,forecast
CN,CURRENT_ACCOUNT_GDP_A,2028,2.983,IMF,World Economic Outlook,official,final,forecast
CN,CURRENT_ACCOUNT_GDP_A,2029,2.914,IMF,World Economic Outlook,official,final,forecast
CN,CURRENT_ACCOUNT_GDP_A,2030,2.877,IMF,World Economic Outlook,official,final,forecast
CN,CURRENT_ACCOUNT_GDP_A,2031,2.843,IMF,World Economic Outlook,official,final,forecast
CN,GDP_CURRENT_LCU_A,2027,152948420000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_CURRENT_LCU_A,2028,161420262000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_CURRENT_LCU_A,2029,170568392000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_CURRENT_LCU_A,2030,179755064000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_CURRENT_LCU_A,2031,189463029000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_DEFLATOR_INDEX_A,2027,116.307,IMF,World Economic Outlook,official,final,forecast
CN,GDP_DEFLATOR_INDEX_A,2028,118.028,IMF,World Economic Outlook,official,final,forecast
CN,GDP_DEFLATOR_INDEX_A,2029,120.308,IMF,World Economic Outlook,official,final,forecast
CN,GDP_DEFLATOR_INDEX_A,2030,122.68,IMF,World Economic Outlook,official,final,forecast
CN,GDP_DEFLATOR_INDEX_A,2031,125.186,IMF,World Economic Outlook,official,final,forecast
CN,GDP_NOMINAL_USD_A,2027,21928979000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_NOMINAL_USD_A,2028,23259956000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_NOMINAL_USD_A,2029,24662788000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_NOMINAL_USD_A,2030,26046793000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_NOMINAL_USD_A,2031,27496670000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_PER_CAPITA_USD_A,2027,15677.967,IMF,World Economic Outlook,official,final,forecast
CN,GDP_PER_CAPITA_USD_A,2028,16671.437,IMF,World Economic Outlook,official,final,forecast
CN,GDP_PER_CAPITA_USD_A,2029,17725.491,IMF,World Economic Outlook,official,final,forecast
CN,GDP_PER_CAPITA_USD_A,2030,18775.478,IMF,World Economic Outlook,official,final,forecast
CN,GDP_PER_CAPITA_USD_A,2031,19883.249,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_GROWTH_YOY_A,2027,4.033,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_GROWTH_YOY_A,2028,4.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_GROWTH_YOY_A,2029,3.665,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_GROWTH_YOY_A,2030,3.348,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_GROWTH_YOY_A,2031,3.291,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_LCU_A,2027,131503712999999.98,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_LCU_A,2028,136763862000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_LCU_A,2029,141776931000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_LCU_A,2030,146523629000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GDP_REAL_LCU_A,2031,151345048000000.0,IMF,World Economic Outlook,official,final,forecast
CN,GOV_DEBT_GDP_A,2027,112.475,IMF,World Economic Outlook,official,final,forecast
CN,GOV_DEBT_GDP_A,2028,116.742,IMF,World Economic Outlook,official,final,forecast
CN,GOV_DEBT_GDP_A,2029,120.348,IMF,World Economic Outlook,official,final,forecast
CN,GOV_DEBT_GDP_A,2030,123.789,IMF,World Economic Outlook,official,final,forecast
CN,GOV_DEBT_GDP_A,2031,126.786,IMF,World Economic Outlook,official,final,forecast
CN,GOV_EXPENSE_GDP_A,2027,33.22,IMF,World Economic Outlook,official,final,forecast
CN,GOV_EXPENSE_GDP_A,2028,33.224,IMF,World Economic Outlook,official,final,forecast
CN,GOV_EXPENSE_GDP_A,2029,33.135,IMF,World Economic Outlook,official,final,forecast
CN,GOV_EXPENSE_GDP_A,2030,33.164,IMF,World Economic Outlook,official,final,forecast
CN,GOV_EXPENSE_GDP_A,2031,33.202,IMF,World Economic Outlook,official,final,forecast
CN,GOV_NET_LENDING_GDP_A,2027,-8.358,IMF,World Economic Outlook,official,final,forecast
CN,GOV_NET_LENDING_GDP_A,2028,-8.208,IMF,World Economic Outlook,official,final,forecast
CN,GOV_NET_LENDING_GDP_A,2029,-8.031,IMF,World Economic Outlook,official,final,forecast
CN,GOV_NET_LENDING_GDP_A,2030,-7.976,IMF,World Economic Outlook,official,final,forecast
CN,GOV_NET_LENDING_GDP_A,2031,-8.014,IMF,World Economic Outlook,official,final,forecast
CN,GOV_REVENUE_GDP_A,2027,24.862,IMF,World Economic Outlook,official,final,forecast
CN,GOV_REVENUE_GDP_A,2028,25.016,IMF,World Economic Outlook,official,final,forecast
CN,GOV_REVENUE_GDP_A,2029,25.104,IMF,World Economic Outlook,official,final,forecast
CN,GOV_REVENUE_GDP_A,2030,25.188,IMF,World Economic Outlook,official,final,forecast
CN,GOV_REVENUE_GDP_A,2031,25.188,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_CAPITAL_FORMATION_GDP_A,2027,38.824,IMF,World Economic Outlook,official,final,forecast
CN,GROSS_CAPITAL_FORMATION_GDP_A,2028,39.287,IMF,World Economic Outlook,official,final,forecast
