indicator_code,indicator_name_zh,indicator_name_en,unit,frequency,seasonal_adjustment,calculation,source_count,domain,concept,measure,unit_family,price_basis,stock_flow,currency,frequency_code,seasonal_adjustment_code,calculation_code,semantic_signature,definition_status,standard_version
POPULATION_GROWTH_A,人口增长率,Population growth,%,A,NSA,YoY,1,population_social,population,year_on_year_growth,percent,not_applicable,stock,NA,A,NSA,YoY,population_social|population|year_on_year_growth|percent|not_applicable|stock|NA|A|NSA,registered,2.1.0
URBAN_POPULATION_RATE_A,城镇人口比重,Urban population share,% of total population,A,NSA,level,1,population_social,population,rate,percent,not_applicable,stock,NA,A,NSA,level,population_social|population|rate|percent|not_applicable|stock|NA|A|NSA,registered,2.1.0
GNI_CURRENT_USD_A,国民总收入,"GNI, current US dollars",current USD,A,NSA,level,1,national_accounts,gni,level,currency,current_price,not_specified,USD,A,NSA,level,national_accounts|gni|level|currency|current_price|not_specified|USD|A|NSA,registered,2.1.0
GNI_PER_CAPITA_USD_A,人均国民总收入,GNI per capita,current USD,A,NSA,level,1,national_accounts,gni,level,currency,current_price,not_specified,USD,A,NSA,level,national_accounts|gni|level|currency|current_price|not_specified|USD|A|NSA,registered,2.1.0
FDI_NET_INFLOWS_GDP_A,外商直接投资净流入占GDP比重,FDI net inflows as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,flow,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA,registered,2.1.0
TRADE_GDP_A,贸易开放度,Trade as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
EXPORTS_GROWTH_A,出口实际增速,Exports real growth,%,A,NSA,YoY,1,external_sector,exports,year_on_year_growth,percent,constant_price,flow,NA,A,NSA,YoY,external_sector|exports|year_on_year_growth|percent|constant_price|flow|NA|A|NSA,registered,2.1.0
IMPORTS_GROWTH_A,进口实际增速,Imports real growth,%,A,NSA,YoY,1,external_sector,imports,year_on_year_growth,percent,constant_price,flow,NA,A,NSA,YoY,external_sector|imports|year_on_year_growth|percent|constant_price|flow|NA|A|NSA,registered,2.1.0
GDP_DEFLATOR_GROWTH_A,GDP平减指数增速,"Inflation, GDP deflator",%,A,NSA,YoY,1,national_accounts,gdp,year_on_year_growth,percent,not_applicable,not_specified,NA,A,NSA,YoY,national_accounts|gdp|year_on_year_growth|percent|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
BROAD_MONEY_GDP_A,广义货币占GDP比重,Broad money as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,stock,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|stock|NA|A|NSA,registered,2.1.0
DOMESTIC_CREDIT_PRIVATE_GDP_A,对私营部门国内信贷占GDP比重,Domestic credit to private sector as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
TAX_REVENUE_GDP_A,税收收入占GDP比重,Tax revenue as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,flow,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|flow|NA|A|NSA,registered,2.1.0
MILITARY_EXPENDITURE_GDP_A,军费支出占GDP比重,Military expenditure as percent of GDP,% of GDP,A,NSA,level,1,national_accounts,gdp,level,ratio_gdp,not_applicable,not_specified,NA,A,NSA,level,national_accounts|gdp|level|ratio_gdp|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
ENERGY_USE_PER_CAPITA_A,人均能源使用量,Energy use per capita,kg of oil equivalent per capita,A,NSA,level,1,energy,energy_use_per,level,physical,not_applicable,not_specified,NA,A,NSA,level,energy|energy_use_per|level|physical|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
ELECTRIC_POWER_CONSUMPTION_A,人均电力消费,Electric power consumption per capita,kWh per capita,A,NSA,level,1,energy,electric_power_consumption,level,physical,not_applicable,not_specified,NA,A,NSA,level,energy|electric_power_consumption|level|physical|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
INTERNET_USERS_RATE_A,互联网使用率,Individuals using the Internet,% of population,A,NSA,level,1,population_social,internet_users_rate,rate,percent,not_applicable,not_specified,NA,A,NSA,level,population_social|internet_users_rate|rate|percent|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
LIFE_EXPECTANCY_A,预期寿命,Life expectancy at birth,years,A,NSA,level,1,population_social,life_expectancy,level,years,not_applicable,not_specified,NA,A,NSA,level,population_social|life_expectancy|level|years|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
SCHOOL_ENROLLMENT_TERTIARY_A,高等教育毛入学率,"School enrollment, tertiary",% gross,A,NSA,level,1,population_social,school_enrollment_tertiary,level,percent,not_applicable,not_specified,NA,A,NSA,level,population_social|school_enrollment_tertiary|level|percent|not_applicable|not_specified|NA|A|NSA,registered,2.1.0
US_CPI_INDEX_M,美国居民消费价格指数,U.S. Consumer Price Index,index 1982-1984=100,M,SA,level,1,prices,cpi,level,index,not_applicable,not_specified,NA,M,SA,level,prices|cpi|level|index|not_applicable|not_specified|NA|M|SA,registered,2.1.0
US_UNEMPLOYMENT_RATE_M,美国失业率,U.S. Unemployment Rate,%,M,SA,level,1,labour,unemployment,rate,percent,not_applicable,not_specified,NA,M,SA,level,labour|unemployment|rate|percent|not_applicable|not_specified|NA|M|SA,registered,2.1.0
