source,source_dataset,source_indicator_code,indicator_code,standard_unit,standard_frequency,standard_seasonal_adjustment,standard_calculation,transform_rule,mapping_status,mapping_version,reviewed_by,semantic_signature
FRED,Federal Reserve Economic Data,CPIAUCSL,US_CPI_INDEX_M,index 1982-1984=100,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|level|index|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,UNRATE,US_UNEMPLOYMENT_RATE_M,%,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|unemployment|rate|percent|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,INDPRO,US_INDUSTRIAL_PRODUCTION_M,index 2017=100,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_production|level|index|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,FEDFUNDS,US_FED_FUNDS_RATE_M,%,M,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,other|fed_funds_rate|rate|percent|not_applicable|not_specified|NA|M|NSA
FRED,Federal Reserve Economic Data,PPIACO,US_PPI_INDEX_M,index 1982=100,M,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|level|index|not_applicable|not_specified|NA|M|NSA
FRED,Federal Reserve Economic Data,CPILFESL,US_CORE_CPI_INDEX_M,index 1982-1984=100,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|level|index|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,RSAFS,US_RETAIL_SALES_M,millions of dollars,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|retail_sales|level|currency|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,HOUST,US_HOUSING_STARTS_M,thousands of units,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|housing_starts|level|thousands of units|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,PAYEMS,US_NONFARM_PAYROLLS_M,thousands of persons,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|nonfarm_payrolls|level|persons|not_applicable|not_specified|NA|M|SA
FRED,Federal Reserve Economic Data,M2SL,US_M2_MONEY_STOCK_M,billions of dollars,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|m2|level|currency|not_applicable|stock|NA|M|SA
FRED,Federal Reserve Economic Data,GS10,US_10Y_TREASURY_RATE_M,%,M,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|10y_treasury_rate|rate|percent|not_applicable|not_specified|NA|M|NSA
FRED,Federal Reserve Economic Data,GS2,US_2Y_TREASURY_RATE_M,%,M,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|2y_treasury_rate|rate|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.CPI.YOY.M,CN_CPI_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|cpi|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,CN_PPI_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,prices|ppi|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|industrial_value_added|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.RETAIL.SALES.YOY.M,CN_RETAIL_SALES_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|retail_sales|year_on_year_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.FAI.YTD.YOY.M,CN_FIXED_ASSET_INVESTMENT_YTD_YOY_M,%,M,NSA,YTD_YoY,identity,approved,2.1.0,EconAtlas baseline registry,investment|fixed_asset_investment|ytd_growth|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.URBAN.UNEMPLOYMENT.M,CN_URBAN_SURVEYED_UNEMPLOYMENT_RATE_M,%,M,NSA,level,identity,approved,2.1.0,EconAtlas baseline registry,labour|unemployment|rate|percent|not_applicable|not_specified|NA|M|NSA
National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.MANUFACTURING.PMI.M,CN_MANUFACTURING_PMI_M,index,M,SA,level,identity,approved,2.1.0,EconAtlas baseline registry,industry_consumption|pmi|level|index|not_applicable|not_specified|NA|M|SA
National Bureau of Statistics of China,People's Bank of China financial statistics,PBOC.M1.YOY.M,CN_M1_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|m1|year_on_year_growth|percent|not_applicable|stock|NA|M|NSA
National Bureau of Statistics of China,People's Bank of China financial statistics,PBOC.M2.YOY.M,CN_M2_YOY_M,%,M,NSA,YoY,identity,approved,2.1.0,EconAtlas baseline registry,money_finance|m2|year_on_year_growth|percent|not_applicable|stock|NA|M|NSA
